992550375524880385,0,0,352615777,2018-05-04 23:43:44,opendata;smartcities;bigdata;ai
992550273032884224,0,0,1008658832,2018-05-04 23:43:20,BigData
992550194167328768,0,1,15285372,2018-05-04 23:43:01,CloudComputing;IoT;CIO;DataScience;Bigdata;Deeplearning;Cloud;blockchain;Fintech;tech;digitaltransformation;defstar5;Bitcoin;Disruption
992550192225443840,1,0,912986766164054017,2018-05-04 23:43:01,HR;tech;HRM;bigdata;futureofwork;FutureHR;Digital;Work;HRtech
992550173132951552,0,0,3030057709,2018-05-04 23:42:56,BigData;Business;Infographic
992549955620438016,0,0,778186652,2018-05-04 23:42:04,BigData;Big;Data;Analytics
992549731678253056,0,0,73345921,2018-05-04 23:41:11,5G;DigitalTransformation;IoT;BigData
992549692675444737,0,0,507415544,2018-05-04 23:41:02,DataDriven;bigdata;analytics
992549691614203905,0,0,406760570,2018-05-04 23:41:01,DataDriven;Design;bigdata;startup;analytics
992549449095315456,0,0,2965977125,2018-05-04 23:40:03,Bigdata;medicalrecords;Oreilly;strata;NYC
992549444800385025,1,0,19067319,2018-05-04 23:40:02,cybersecurity;charts;data;dataviz;technology;tech;attack;ddos;cyberattack;internet;bigdata
992549230140157952,0,0,352615777,2018-05-04 23:39:11,smartcities;bigdata;ai
992548957418074113,0,0,2269520654,2018-05-04 23:38:06,expenses;Mobile;Management;BigData
992548804183273472,2,0,448569612,2018-05-04 23:37:30,china;AI;technology;tech;science;bigdata;travel;usa;globalmobility;relocation;hr
992548508615041025,0,0,352615777,2018-05-04 23:36:19,opendata;smartcities;bigdata;ai
992548306051100672,0,0,909009874498940928,2018-05-04 23:35:31,RSI;RFR;cryptolife;Bitcoin;bitcoins;trading;ETH;mining;BigData;INK;ART;altcoin;DAPP;ICO
992548013443833856,0,0,3443875098,2018-05-04 23:34:21,bigdata
992547996347912192,0,0,3443726472,2018-05-04 23:34:17,bigdata
992547707611963392,0,0,544405800,2018-05-04 23:33:08,realtimedata;streamingdata;bigdata
992547673029955585,4,0,705539763349164032,2018-05-04 23:33:00,5G;DigitalTransformation;IoT;BigData
992547591790489600,0,0,235298793,2018-05-04 23:32:41,digital;bigdata
992547497787777024,0,0,288194087,2018-05-04 23:32:18,ai;bigdata;cloud;tech;technology
992547445891624961,0,0,352615777,2018-05-04 23:32:06,opendata;smartcities;bigdata;ai
992547012548743173,0,0,3240325433,2018-05-04 23:30:23,tech;science;bigdata;mobile;innovation;awesome;startups
992547011407724544,0,1,823599620672618496,2018-05-04 23:30:22,DigitalTransformation;BigData;innovation;strategy;DX;UX;disruption;SMM
992546994550902784,0,0,784684019984240640,2018-05-04 23:30:18,BigData
992546993867239424,0,0,784684019984240640,2018-05-04 23:30:18,BigData
992546930734583813,2,3,262641807,2018-05-04 23:30:03,CyberSecurity;infosec;AI;Malware;Fintech;Blockchain;Chatbots;Bigdata;datascience;Privacy;Privacymatters;hack;hacking;databreach;crypto
992546926968090625,0,0,793721694741561344,2018-05-04 23:30:02,bigdata;iot;analytics;ai
992546727046598657,0,0,91608548,2018-05-04 23:29:15,Technology;InfoSec;Security;IoT;IIoT;ChatBots;BigData;AI;ML;DL;AR;VR;FinTech;Blockchain;technews
992546517369085953,0,0,823599620672618496,2018-05-04 23:28:25,DataScience;DataScientist;BigData;MachineLearning;AI;UX;DX;DesignThinking
992546190481747969,0,0,892149080,2018-05-04 23:27:07,GCP;Hadoop;bigdata
992546186375680000,0,0,352615777,2018-05-04 23:27:06,opendata;smartcities;bigdata;ai
992545786910199809,1,0,116846543,2018-05-04 23:25:30,CEO;AI;DigitalTransformation;BigData
992545581871587328,0,0,1008658832,2018-05-04 23:24:41,BigData;Jobs
992545520202797056,0,0,121954286,2018-05-04 23:24:27,ai;bigdata
992545376422055938,0,0,3033092453,2018-05-04 23:23:52,IoT;customerexperience;disruption;innovation;digital;businessmodel;bigdata;blockchain;crypto
992545286995181570,0,0,2255433241,2018-05-04 23:23:31,Analyse;Analytics;BigData;Business
992545236768514048,0,0,352615777,2018-05-04 23:23:19,opendata;smartcities;bigdata;ai
992544699855536130,4,4,2975134426,2018-05-04 23:21:11,CIO;AI;bigdata;fintech
992544563360247808,0,0,2363505709,2018-05-04 23:20:39,transit;GPS;BigData;transportation
992544555278000134,0,0,3256448418,2018-05-04 23:20:37,Wechat;chathistory;bigdata;onlineprivacy
992544430702977024,2,1,80289077,2018-05-04 23:20:07,IIOT;BigData;datascience;analytics;Blockchain;saas;startups;Industry40;cybersecurity;Chatbot;IoT;IoE;AI;Fintech;data;UX;MachineLearning;ML;innovation;Analytics;Marketing;Cloud;infosec;AI;Mgvip;makeyourownlane;defstar5
992544423044091904,0,0,860073994107723776,2018-05-04 23:20:05,bigdata;supplychain;risk
